   X,    Y,    Latitude,   Longitude, TMP_201906111700
   2,    6,   49.362905, -101.492655,      -60.790
   3,    6,   49.367593, -101.340677,      -60.790
   4,    6,   49.372169, -101.188683,      -60.610
   5,    6,   49.376635, -101.036673,      -60.610
   6,    6,   49.380990, -100.884648,      -60.610
   7,    6,   49.385233, -100.732609,      -60.610
   8,    6,   49.389365, -100.580555,      -60.430
   9,    6,   49.393386, -100.428486,      -60.430
  10,    6,   49.397296, -100.276405,      -60.430
  11,    6,   49.401094, -100.124309,      -60.430
  12,    6,   49.404782,  -99.972201,      -60.430
  13,    6,   49.408358,  -99.820081,      -60.430
  14,    6,   49.411823,  -99.667948,      -60.430
  15,    6,   49.415177,  -99.515803,      -60.430
  16,    6,   49.418420,  -99.363648,      -60.430
  17,    6,   49.421551,  -99.211481,      -60.430
  18,    6,   49.424571,  -99.059303,      -60.430
  19,    6,   49.427481,  -98.907116,      -60.430
  20,    6,   49.430279,  -98.754918,      -60.430
  21,    6,   49.432965,  -98.602711,      -60.430
  22,    6,   49.435541,  -98.450495,      -60.430
  23,    6,   49.438005,  -98.298270,      -60.430
  24,    6,   49.440358,  -98.146037,      -60.430
  25,    6,   49.442600,  -97.993796,      -60.430
  26,    6,   49.444731,  -97.841547,      -60.430
  27,    6,   49.446750,  -97.689291,      -60.430
  28,    6,   49.448659,  -97.537029,      -60.250
  29,    6,   49.450456,  -97.384760,      -60.250
  30,    6,   49.452142,  -97.232485,      -60.250
  31,    6,   49.453716,  -97.080204,      -60.250
  32,    6,   49.455180,  -96.927918,      -60.250
  33,    6,   49.456532,  -96.775628,      -60.070
  34,    6,   49.457773,  -96.623332,      -60.070
  35,    6,   49.458903,  -96.471033,      -60.070
  36,    6,   49.459921,  -96.318730,      -60.070
  37,    6,   49.460829,  -96.166424,      -59.890
  38,    6,   49.461625,  -96.014114,      -59.890
  39,    6,   49.462310,  -95.861802,      -59.890
  40,    6,   49.462883,  -95.709488,      -59.710
  41,    6,   49.463346,  -95.557173,      -59.710
  42,    6,   49.463697,  -95.404855,      -59.710
  43,    6,   49.463937,  -95.252537,      -59.710
  44,    6,   49.464066,  -95.100218,      -59.530
   1,    7,   49.457033, -101.652079,      -60.790
   2,    7,   49.461833, -101.499947,      -60.610
   3,    7,   49.466522, -101.347799,      -60.610
   4,    7,   49.471100, -101.195634,      -60.610
   5,    7,   49.475567, -101.043454,      -60.610
   6,    7,   49.479922, -100.891259,      -60.610
   7,    7,   49.484166, -100.739049,      -60.430
   8,    7,   49.488300, -100.586824,      -60.430
   9,    7,   49.492321, -100.434586,      -60.430
  10,    7,   49.496232, -100.282333,      -60.430
  11,    7,   49.500032, -100.130068,      -60.250
  12,    7,   49.503720,  -99.977789,      -60.430
  13,    7,   49.507297,  -99.825498,      -60.430
  14,    7,   49.510763,  -99.673194,      -60.430
  15,    7,   49.514117,  -99.520879,      -60.430
  16,    7,   49.517361,  -99.368552,      -60.430
  17,    7,   49.520493,  -99.216215,      -60.430
  18,    7,   49.523514,  -99.063866,      -60.430
  19,    7,   49.526424,  -98.911508,      -60.430
  20,    7,   49.529222,  -98.759139,      -60.430
  21,    7,   49.531910,  -98.606761,      -60.430
  22,    7,   49.534486,  -98.454374,      -60.430
  23,    7,   49.536951,  -98.301978,      -60.430
  24,    7,   49.539304,  -98.149574,      -60.430
  25,    7,   49.541547,  -97.997162,      -60.430
  26,    7,   49.543678,  -97.844742,      -60.250
  27,    7,   49.545698,  -97.692315,      -60.250
  28,    7,   49.547607,  -97.539882,      -60.250
  29,    7,   49.549404,  -97.387442,      -60.250
  30,    7,   49.551091,  -97.234995,      -60.250
  31,    7,   49.552666,  -97.082544,      -60.070
  32,    7,   49.554129,  -96.930086,      -60.070
