   X,    Y,    Latitude,   Longitude, HPBL_201906300000
  13,    7,   49.507297,  -99.825498,      667.200
  14,    7,   49.510763,  -99.673194,      295.520
  15,    7,   49.514117,  -99.520879,      206.400
  16,    7,   49.517361,  -99.368552,      206.560
  17,    7,   49.520493,  -99.216215,      250.240
  18,    7,   49.523514,  -99.063866,      251.040
  19,    7,   49.526424,  -98.911508,      206.240
  20,    7,   49.529222,  -98.759139,      295.680
  21,    7,   49.531910,  -98.606761,      297.600
  22,    7,   49.534486,  -98.454374,      297.600
  23,    7,   49.536951,  -98.301978,      300.640
  24,    7,   49.539304,  -98.149574,       82.880
  25,    7,   49.541547,  -97.997162,     1013.760
  26,    7,   49.543678,  -97.844742,       83.680
  27,    7,   49.545698,  -97.692315,       83.680
  28,    7,   49.547607,  -97.539882,      126.400
  29,    7,   49.549404,  -97.387442,      170.080
  30,    7,   49.551091,  -97.234995,      404.800
  31,    7,   49.552666,  -97.082544,      404.800
  32,    7,   49.554129,  -96.930086,     1132.800
  33,    7,   49.555482,  -96.777625,     1130.880
  34,    7,   49.556723,  -96.625158,     1598.720
  35,    7,   49.557853,  -96.472687,     1261.280
  36,    7,   49.558872,  -96.320213,     1261.280
  37,    7,   49.559780,  -96.167735,     1258.560
  38,    7,   49.560576,  -96.015255,     1257.600
  39,    7,   49.561261,  -95.862772,     1122.240
  40,    7,   49.561835,  -95.710286,     1122.240
  41,    7,   49.562297,  -95.557799,     1006.080
  42,    7,   49.562649,  -95.405311,      903.520
  43,    7,   49.562889,  -95.252821,      678.720
  44,    7,   49.563018,  -95.100331,      347.680
   1,    8,   49.555872, -101.659558,     1727.040
   2,    8,   49.560673, -101.507255,     1960.320
   3,    8,   49.565363, -101.354936,     1960.320
   4,    8,   49.569942, -101.202601,     1548.640
   5,    8,   49.574410, -101.050251,     1980.480
   6,    8,   49.578766, -100.897885,     1386.080
   7,    8,   49.583011, -100.745504,     1386.240
   8,    8,   49.587145, -100.593108,     1386.240
   9,    8,   49.591168, -100.440699,     1233.280
  10,    8,   49.595080, -100.288275,     1101.760
  11,    8,   49.598880, -100.135839,      988.320
  12,    8,   49.602569,  -99.983389,      669.760
  13,    8,   49.606147,  -99.830927,      669.760
