   X,    Y,    Latitude,   Longitude, VRATE_201906240000
  33,   10,   49.851796,  -96.783642,     8100.000
  34,   10,   49.853038,  -96.630660,     8100.000
  35,   10,   49.854168,  -96.477673,     8000.000
  36,   10,   49.855188,  -96.324683,     8700.000
  37,   10,   49.856096,  -96.171689,     8700.000
  38,   10,   49.856893,  -96.018692,     9100.000
  39,   10,   49.857578,  -95.865693,     9100.000
  40,   10,   49.858153,  -95.712691,     8600.000
  41,   10,   49.858615,  -95.559688,     8400.000
  42,   10,   49.858967,  -95.406683,     8300.000
  43,   10,   49.859207,  -95.253677,     8100.000
  44,   10,   49.859336,  -95.100671,     8600.000
   1,   11,   49.851852, -101.682094,    11300.000
   2,   11,   49.856656, -101.529278,    11300.000
   3,   11,   49.861349, -101.376445,    11400.000
   4,   11,   49.865931, -101.223596,    11300.000
   5,   11,   49.870402, -101.070731,    10800.000
   6,   11,   49.874761, -100.917851,     9600.000
   7,   11,   49.879009, -100.764955,     9600.000
   8,   11,   49.883146, -100.612045,     9400.000
   9,   11,   49.887171, -100.459121,     9400.000
  10,   11,   49.891085, -100.306182,     8900.000
  11,   11,   49.894888, -100.153230,     8900.000
  12,   11,   49.898580, -100.000265,     9000.000
  13,   11,   49.902160,  -99.847288,     9000.000
  14,   11,   49.905629,  -99.694298,     8700.000
  15,   11,   49.908986,  -99.541296,     8600.000
  16,   11,   49.912233,  -99.388282,     8600.000
  17,   11,   49.915368,  -99.235257,     8500.000
  18,   11,   49.918391,  -99.082222,     8200.000
  19,   11,   49.921304,  -98.929176,     7800.000
  20,   11,   49.924105,  -98.776120,     7800.000
  21,   11,   49.926794,  -98.623054,     7400.000
  22,   11,   49.929373,  -98.469979,     7000.000
  23,   11,   49.931840,  -98.316896,     6800.000
  24,   11,   49.934196,  -98.163803,     6800.000
  25,   11,   49.936440,  -98.010703,     6800.000
  26,   11,   49.938573,  -97.857595,     6700.000
  27,   11,   49.940595,  -97.704480,     6700.000
  28,   11,   49.942505,  -97.551358,     6600.000
  29,   11,   49.944304,  -97.398229,     6700.000
  30,   11,   49.945992,  -97.245095,     7000.000
  31,   11,   49.947568,  -97.091954,     7700.000
  32,   11,   49.949033,  -96.938808,     8100.000
  33,   11,   49.950387,  -96.785657,     8300.000
  34,   11,   49.951630,  -96.632502,     8300.000
  35,   11,   49.952761,  -96.479343,     8600.000
  36,   11,   49.953780,  -96.326179,     8700.000
  37,   11,   49.954689,  -96.173013,     9100.000
  38,   11,   49.955486,  -96.019843,     9100.000
  39,   11,   49.956171,  -95.866671,     9000.000
  40,   11,   49.956746,  -95.713496,     8600.000
  41,   11,   49.957209,  -95.560320,     8700.000
  42,   11,   49.957560,  -95.407142,     8100.000
  43,   11,   49.957800,  -95.253964,     8100.000
  44,   11,   49.957929,  -95.100784,     8800.000
   1,   12,   49.950332, -101.689641,    11700.000
   2,   12,   49.955138, -101.536652,    11700.000
   3,   12,   49.959832, -101.383647,    11400.000
   4,   12,   49.964415, -101.230626,    11800.000
   5,   12,   49.968886, -101.077589,    11100.000
   6,   12,   49.973246, -100.924536,    11100.000
   7,   12,   49.977495, -100.771468,    10000.000
   8,   12,   49.981633, -100.618386,     9800.000
   9,   12,   49.985659, -100.465289,     9800.000
  10,   12,   49.989574, -100.312178,     9200.000
  11,   12,   49.993378, -100.159054,     9200.000
  12,   12,   49.997070, -100.005916,     9000.000
  13,   12,   50.000651,  -99.852766,     9300.000
  14,   12,   50.004121,  -99.699603,     9000.000
  15,   12,   50.007479,  -99.546429,     9000.000
  16,   12,   50.010726,  -99.393242,     8800.000
  17,   12,   50.013861,  -99.240045,     8700.000
  18,   12,   50.016886,  -99.086837,     8400.000
  19,   12,   50.019799,  -98.933618,     7900.000
  20,   12,   50.022600,  -98.780389,     7900.000
  21,   12,   50.025291,  -98.627150,     7400.000
  22,   12,   50.027870,  -98.473903,     7000.000
  23,   12,   50.030337,  -98.320646,     7000.000
  24,   12,   50.032693,  -98.167381,     7000.000
  25,   12,   50.034938,  -98.014108,     7000.000
  26,   12,   50.037072,  -97.860827,     6800.000
  27,   12,   50.039094,  -97.707538,     6400.000
  28,   12,   50.041005,  -97.554243,     6700.000
  29,   12,   50.042804,  -97.400941,     6700.000
  30,   12,   50.044492,  -97.247634,     7300.000
  31,   12,   50.046069,  -97.094320,     8100.000
  32,   12,   50.047534,  -96.941001,     8300.000
  33,   12,   50.048888,  -96.787677,     8300.000
  34,   12,   50.050131,  -96.634349,     8600.000
  35,   12,   50.051262,  -96.481016,     9400.000
  36,   12,   50.052282,  -96.327679,     9500.000
  37,   12,   50.053191,  -96.174340,     9500.000
  38,   12,   50.053988,  -96.020997,     9500.000
  39,   12,   50.054674,  -95.867651,     8800.000
  40,   12,   50.055248,  -95.714303,     8400.000
  41,   12,   50.055711,  -95.560954,     8700.000
  42,   12,   50.056063,  -95.407603,     8700.000
  43,   12,   50.056303,  -95.254251,     8700.000
  44,   12,   50.056432,  -95.100898,     8800.000
   1,   13,   50.048722, -101.697204,    12300.000
   2,   13,   50.053529, -101.544043,    12000.000
   3,   13,   50.058224, -101.390865,    11800.000
   4,   13,   50.062807, -101.237672,    11800.000
   5,   13,   50.067280, -101.084462,    11500.000
   6,   13,   50.071641, -100.931237,    11500.000
   7,   13,   50.075891, -100.777996,    10500.000
   8,   13,   50.080029, -100.624741,    10200.000
   9,   13,   50.084056, -100.471471,    10100.000
  10,   13,   50.087972, -100.318188,    10100.000
  11,   13,   50.091777, -100.164890,     9500.000
  12,   13,   50.095470, -100.011580,     9300.000
