84	168	West St. Paul	201	SELKIRK	22	8	INTERLAKE (SELKIRK)	RED RIVER PLANNING DISTRICT	902	RM	St. Paul	RM of West St. Paul	88691084.51	42016.17323	634994	5542260
85	191	Ritchot	165	STEINBACH	23	3	PORTAGE	MACDONALD-RITCHOT PLANNING DISTRICT	919	RM	Dawson Trail/Morris	RM of Ritchot	338191560.9	111035.713	637698	5501880
86	170	Rosser	172	PORTAGE	21	8	INTERLAKE (SELKIRK)	SOUTH INTERLAKE PLANNING DISTRICT	908	RM	Lakeside	RM of Rosser	442253000.1	115095.038	613823	5540440
87	2467	Hillsburg-Roblin-Shell River	182	DAUPHIN	6	7	DAUPHIN	 	 	M	Dauphin/Swan River	Municipality of Roblin	1789124131	193464.286	340387	5689420
88	196	Victoria	197	MORDEN	8	3	PORTAGE	SOUTH CENTRAL PLANNING DISTRICT	935	RM	Midland	RM of Victoria	710513905.3	111790.4719	504979	5500960
89	172	Elton	124	BRANDON	11	6	BRANDON	BRANDON AND AREA PLANNING DISTRICT	910	RM	Spruce Woods	RM of Elton	577321760.3	108566.9004	437903	5536270
90	198	Ste. Anne	175	STEINBACH	23	2	STEINBACH	 	 	RM	Dawson Trail	RM of Ste. Anne	480418390.9	108029.1662	677388	5500170
91	2468	Grassland	111	SOURIS	9	6	BRANDON	DENNIS COUNTY PLANNING DISTRICT	932	M	Arthur-Virden	Municipality of Grassland	1357817067	177066.0436	400251	5477750
92	2469	Ste. Rose	359	DAUPHIN	6	7	DAUPHIN	 	 	M	Dauphin	Municipality of Ste. Rose	634438219.7	116754.2668	468411	5649920
93	2470	Ellice-Archie	101	MINNEDOSA	7	6	BRANDON	MID-WEST PLANNING DISTRICT	931	RM	Arthur-Virden/Riding Mountain	RM of Ellice-Archie	1159908126	161348.6815	334235	5577790
94	2471	Westlake-Gladstone	200	PORTAGE	21	3	PORTAGE	 	 	M	Agassiz	Municipality of Westlake-Gladstone	1933854637	204175.0902	511248	5570410
95	2472	Grandview	132	DAUPHIN	6	7	DAUPHIN	MOUNTAINVIEW PLANNING DISTRICT	938	M	Dauphin	Grandview Municipality	1206115349	144722.1313	374834	5668560
96	148	Portage La Prairie	163	PORTAGE	21	3	PORTAGE	PORTAGE LA PRAIRIE PLANNING DISTRICT	944	RM	Portage la Prairie	RM of Portage La Prairie	2087041811	247465.3428	555090	5538850
97	2473	Gilbert Plains	323	DAUPHIN	6	7	DAUPHIN	MOUNTAINVIEW PLANNING DISTRICT	938	M	Dauphin	Gilbert Plains Municipality	1054666698	138122.0498	399399	5668020
98	149	Lac du Bonnet	333	SELKIRK	22	1	BEAUSEJOUR	LAC DU BONNET PLANNING DISTRICT	915	Town	Lac du Bonnet	Town of Lac du Bonnet	3327505.8	9744.829762	709640	5570710
99	150	Minnedosa	431	MINNEDOSA	7	6	BRANDON	TANNER'S CROSSING PLANNING DISTRICT	930	Town	Riding Mountain	Town of Minnedosa	15406469.97	16355.33326	439404	5566590
100	2474	Russell-Binscarth	445	MINNEDOSA	7	7	DAUPHIN	TRI-ROADS PLANNING DISTRICT	922	M	Riding Mountain	Municipality of Russell-Binscarth	581602045.3	98441.23215	332781	5622130
101	175	Cartier	112	PORTAGE	21	3	PORTAGE	WHITE HORSE PLAINS PLANNING DISTRICT	945	RM	Morris	RM of Cartier	557258418	167492.4253	592749	5527560
102	177	East St. Paul	121	SELKIRK	22	8	INTERLAKE (SELKIRK)	RED RIVER PLANNING DISTRICT	902	RM	St. Paul	RM of East St. Paul	43156339.2	33143.39743	642295	5538410
103	180	Portage La Prairie	550	PORTAGE	21	3	PORTAGE	PORTAGE LA PRAIRIE PLANNING DISTRICT	944	City	Portage la Prairie	City of Portage La Prairie	26375268.63	27626.10048	550991	5535500
104	201	Ste. Anne	351	STEINBACH	23	2	STEINBACH	 	 	Town	Dawson Trail	Town of Ste. Anne	3949145.514	9661.119441	669677	5504390
105	203	Hanover	135	STEINBACH	23	2	STEINBACH	 	 	RM	Steinbach/La Verendrye	RM of Hanover	742454255.3	161943.5918	659375	5482440
106	138	Lac du Bonnet	139	SELKIRK	22	1	BEAUSEJOUR	LAC DU BONNET PLANNING DISTRICT	915	RM	Lac du Bonnet	RM of Lac du Bonnet	1198165342	211664.0206	705151	5571240
107	1186	Steinbach	451	STEINBACH	23	2	STEINBACH	 	 	City	Steinbach	City of Steinbach	26097568.72	26064.05656	667634	5488670
108	1187	Swan River	455	SWAN RIVER	24	7	DAUPHIN	SWAN VALLEY PLANNING DISTRICT	937	Town	Swan River	Town of Swan River	7483622.129	19048.63762	345225	5775280
109	151	Pinawa	616	SELKIRK	22	1	BEAUSEJOUR	 	 	LGD	Lac du Bonnet	LGD of Pinawa	136956421.4	62967.70453	717504	5561880
110	152	Neepawa	437	MINNEDOSA	7	6	BRANDON	NEEPAWA AND AREA PLANNING DISTRICT	907	Town	Agassiz	Town of Neepawa	17733269.73	20259.942	467165	5564220
111	178	Winnipeg	590	WINNIPEG CITY	 	 	WINNIPEG CITY	 	 	City	Various Urban	City of Winnipeg	475215880.2	123248.1326	632429	5525100
112	205	Niverville	340	STEINBACH	23	2	STEINBACH	 	 	Town	Morris	Town of Niverville	8811371.681	13207.62674	640780	5496410
113	134	Dunnottar	311	SELKIRK	22	8	INTERLAKE (SELKIRK)	RED RIVER PLANNING DISTRICT	902	Village	Gimli	Village of Dunnottar	2654649.205	16456.2979	645164	5590870
114	159	Selkirk	447	SELKIRK	22	8	INTERLAKE (SELKIRK)	RED RIVER PLANNING DISTRICT	902	City	Selkirk	City of Selkirk	25328793.14	24558.54188	650093	5557570
115	160	Whitemouth	203	STEINBACH	23	1	BEAUSEJOUR	WHITEMOUTH REYNOLDS PLANNING DISTRICT	928	RM	La Verendrye	RM of Whitemouth	682197992.5	115696.7747	718296	5538090
116	161	Stonewall	453	SELKIRK	22	8	INTERLAKE (SELKIRK)	SOUTH INTERLAKE PLANNING DISTRICT	908	Town	Lakeside	Town of Stonewall	6143524.899	9907.0641	619516	5554860
117	182	Headingley	208	PORTAGE	21	3	PORTAGE	 	 	RM	Morris	RM of Headingley	109346103	48362.68892	615622	5525170
118	207	Dufferin	120	MORDEN	8	4	MORDEN	CARMAN-DUFFERIN PLANNING DISTRICT	949	RM	Midland	RM of Dufferin	918686007.1	148155.5261	568147	5487460
119	162	Reynolds	611	STEINBACH	23	1	BEAUSEJOUR	WHITEMOUTH REYNOLDS PLANNING DISTRICT	928	RM	La Verendrye	RM of Reynolds	3580530223	363977.6924	719031	5510110
120	164	Beausejour	401	SELKIRK	22	1	BEAUSEJOUR	BROKENHEAD RIVER PLANNING DISTRICT	903	Town	Lac du Bonnet	Town of Beausejour	5640146.032	10903.70695	678135	5548510
121	183	Brandon	500	BRANDON	11	6	BRANDON	BRANDON AND AREA PLANNING DISTRICT	910	City	Brandon East/West	City of Brandon	79793438.95	61124.5134	433681	5521750
122	184	Whitehead	202	BRANDON	11	6	BRANDON	 	 	RM	Spruce Woods	RM of Whitehead	581598604.8	98442.48985	409473	5516930
