FID,OBJECTID,MUNI_NAME,MUNI_NO,ASMT_DISTR,ASMT_DIST_,PLAN_RGN_O,PLAN_RGN_1,PLAN_DIST_,PLAN_DIST1,MUNI_STATU,PROV_ELECT,LEGAL_NAME,SHAPE_AREA,SHAPE_LEN,x,y
97,2473,Gilbert Plains,323.000000000000000,DAUPHIN,06,7,DAUPHIN,MOUNTAINVIEW PLANNING DISTRICT,938,M,Dauphin,Gilbert Plains Municipality,1054666698.059999942779541,138122.049808000010671,399399.0000000,5668020.0000000
98,149,Lac du Bonnet,333.000000000000000,SELKIRK,22,1,BEAUSEJOUR,LAC DU BONNET PLANNING DISTRICT,915,Town,Lac du Bonnet,Town of Lac du Bonnet,3327505.799879999831319,9744.829762040000787,709640.0000000,5570710.0000000
99,150,Minnedosa,431.000000000000000,MINNEDOSA,07,6,BRANDON,TANNER'S CROSSING PLANNING DISTRICT,930,Town,Riding Mountain,Town of Minnedosa,15406469.972599999979138,16355.333255899999131,439404.0000000,5566590.0000000
100,2474,Russell-Binscarth,445.000000000000000,MINNEDOSA,07,7,DAUPHIN,TRI-ROADS PLANNING DISTRICT,922,M,Riding Mountain,Municipality of Russell-Binscarth,581602045.345999956130981,98441.232153499993728,332781.0000000,5622130.0000000
101,175,Cartier,112.000000000000000,PORTAGE,21,3,PORTAGE,WHITE HORSE PLAINS PLANNING DISTRICT,945,RM,Morris,RM of Cartier,557258417.975999951362610,167492.425328000012087,592749.0000000,5527560.0000000
102,177,East St. Paul,121.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,RM,St. Paul,RM of East St. Paul,43156339.195699997246265,33143.397434300000896,642295.0000000,5538410.0000000
103,180,Portage La Prairie,550.000000000000000,PORTAGE,21,3,PORTAGE,PORTAGE LA PRAIRIE PLANNING DISTRICT,944,City,Portage la Prairie,City of Portage La Prairie,26375268.634300000965595,27626.100480199998856,550991.0000000,5535500.0000000
104,201,Ste. Anne,351.000000000000000,STEINBACH,23,2,STEINBACH, , ,Town,Dawson Trail,Town of Ste. Anne,3949145.513540000189096,9661.119440730000861,669677.0000000,5504390.0000000
105,203,Hanover,135.000000000000000,STEINBACH,23,2,STEINBACH, , ,RM,Steinbach/La Verendrye,RM of Hanover,742454255.284000039100647,161943.591825000010431,659375.0000000,5482440.0000000
106,138,Lac du Bonnet,139.000000000000000,SELKIRK,22,1,BEAUSEJOUR,LAC DU BONNET PLANNING DISTRICT,915,RM,Lac du Bonnet,RM of Lac du Bonnet,1198165342.150000095367432,211664.020596999995178,705151.0000000,5571240.0000000
107,1186,Steinbach,451.000000000000000,STEINBACH,23,2,STEINBACH, , ,City,Steinbach,City of Steinbach,26097568.716499999165535,26064.056556899999123,667634.0000000,5488670.0000000
108,1187,Swan River,455.000000000000000,SWAN RIVER,24,7,DAUPHIN,SWAN VALLEY PLANNING DISTRICT,937,Town,Swan River,Town of Swan River,7483622.129429999738932,19048.637615600000572,345225.0000000,5775280.0000000
109,151,Pinawa,616.000000000000000,SELKIRK,22,1,BEAUSEJOUR, , ,LGD,Lac du Bonnet,LGD of Pinawa,136956421.365999996662140,62967.704527800000506,717504.0000000,5561880.0000000
110,152,Neepawa,437.000000000000000,MINNEDOSA,07,6,BRANDON,NEEPAWA AND AREA PLANNING DISTRICT,907,Town,Agassiz,Town of Neepawa,17733269.730000000447035,20259.941998400001467,467165.0000000,5564220.0000000
111,178,Winnipeg,590.000000000000000,WINNIPEG CITY, , ,WINNIPEG CITY, , ,City,Various Urban,City of Winnipeg,475215880.151000022888184,123248.132620000003953,632429.0000000,5525100.0000000
112,205,Niverville,340.000000000000000,STEINBACH,23,2,STEINBACH, , ,Town,Morris,Town of Niverville,8811371.680900000035763,13207.626738000000842,640780.0000000,5496410.0000000
113,134,Dunnottar,311.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,Village,Gimli,Village of Dunnottar,2654649.204890000168234,16456.297899699999107,645164.0000000,5590870.0000000
114,159,Selkirk,447.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),RED RIVER PLANNING DISTRICT,902,City,Selkirk,City of Selkirk,25328793.143699999898672,24558.541876200000843,650093.0000000,5557570.0000000
115,160,Whitemouth,203.000000000000000,STEINBACH,23,1,BEAUSEJOUR,WHITEMOUTH REYNOLDS PLANNING DISTRICT,928,RM,La Verendrye,RM of Whitemouth,682197992.503000020980835,115696.774690000005648,718296.0000000,5538090.0000000
116,161,Stonewall,453.000000000000000,SELKIRK,22,8,INTERLAKE (SELKIRK),SOUTH INTERLAKE PLANNING DISTRICT,908,Town,Lakeside,Town of Stonewall,6143524.899299999698997,9907.064099880000867,619516.0000000,5554860.0000000
117,182,Headingley,208.000000000000000,PORTAGE,21,3,PORTAGE, , ,RM,Morris,RM of Headingley,109346103.002000004053116,48362.688922200002708,615622.0000000,5525170.0000000
118,207,Dufferin,120.000000000000000,MORDEN,08,4,MORDEN,CARMAN-DUFFERIN PLANNING DISTRICT,949,RM,Midland,RM of Dufferin,918686007.133000016212463,148155.526102000003448,568147.0000000,5487460.0000000
119,162,Reynolds,611.000000000000000,STEINBACH,23,1,BEAUSEJOUR,WHITEMOUTH REYNOLDS PLANNING DISTRICT,928,RM,La Verendrye,RM of Reynolds,3580530223.329999923706055,363977.692414999997709,719031.0000000,5510110.0000000
120,164,Beausejour,401.000000000000000,SELKIRK,22,1,BEAUSEJOUR,BROKENHEAD RIVER PLANNING DISTRICT,903,Town,Lac du Bonnet,Town of Beausejour,5640146.031910000368953,10903.706952500000625,678135.0000000,5548510.0000000
121,183,Brandon,500.000000000000000,BRANDON,11,6,BRANDON,BRANDON AND AREA PLANNING DISTRICT,910,City,Brandon East/West,City of Brandon,79793438.948799997568130,61124.513404600002104,433681.0000000,5521750.0000000
122,184,Whitehead,202.000000000000000,BRANDON,11,6,BRANDON, , ,RM,Spruce Woods,RM of Whitehead,581598604.764000058174133,98442.489845799995237,409473.0000000,5516930.0000000
