   X,    Y,    Latitude,   Longitude, HPBL_201907120000
  23,    7,   49.536951,  -98.301978,     1401.280
  24,    7,   49.539304,  -98.149574,     1585.280
  25,    7,   49.541547,  -97.997162,      351.520
  26,    7,   49.543678,  -97.844742,     1589.440
  27,    7,   49.545698,  -97.692315,     1589.440
  28,    7,   49.547607,  -97.539882,     1588.960
  29,    7,   49.549404,  -97.387442,     1588.320
  30,    7,   49.551091,  -97.234995,     1587.040
  31,    7,   49.552666,  -97.082544,     1587.040
  32,    7,   49.554129,  -96.930086,     2019.520
  33,    7,   49.555482,  -96.777625,     2014.880
  34,    7,   49.556723,  -96.625158,     1779.360
  35,    7,   49.557853,  -96.472687,     2003.200
  36,    7,   49.558872,  -96.320213,     2003.200
  37,    7,   49.559780,  -96.167735,     1998.880
  38,    7,   49.560576,  -96.015255,     1996.480
  39,    7,   49.561261,  -95.862772,     1766.080
  40,    7,   49.561835,  -95.710286,     1766.080
  41,    7,   49.562297,  -95.557799,     1992.960
  42,    7,   49.562649,  -95.405311,     1990.240
  43,    7,   49.562889,  -95.252821,     1988.480
  44,    7,   49.563018,  -95.100331,     1556.800
   1,    8,   49.555872, -101.659558,     3488.160
   2,    8,   49.560673, -101.507255,     3152.960
   3,    8,   49.565363, -101.354936,     3152.960
   4,    8,   49.569942, -101.202601,     3168.640
   5,    8,   49.574410, -101.050251,     2249.280
   6,    8,   49.578766, -100.897885,     1570.720
   7,    8,   49.583011, -100.745504,     1243.840
   8,    8,   49.587145, -100.593108,     1243.840
   9,    8,   49.591168, -100.440699,     1109.920
  10,    8,   49.595080, -100.288275,     1568.160
  11,    8,   49.598880, -100.135839,     1567.680
  12,    8,   49.602569,  -99.983389,     1569.760
  13,    8,   49.606147,  -99.830927,     1569.760
  14,    8,   49.609613,  -99.678452,     1573.600
  15,    8,   49.612969,  -99.525966,      557.600
  16,    8,   49.616213,  -99.373468,      557.760
  17,    8,   49.619346,  -99.220959,      557.760
  18,    8,   49.622368,  -99.068440,     1575.840
  19,    8,   49.625278,  -98.915910,     1398.400
  20,    8,   49.628077,  -98.763370,     1775.200
  21,    8,   49.630765,  -98.610821,     1400.640
  22,    8,   49.633342,  -98.458262,     1400.640
  23,    8,   49.635807,  -98.305695,      256.160
  24,    8,   49.638162,  -98.153119,      303.520
  25,    8,   49.640405,  -98.000536,      452.480
  26,    8,   49.642536,  -97.847945,      452.480
  27,    8,   49.644557,  -97.695346,     1793.440
  28,    8,   49.646466,  -97.542741,     1124.960
  29,    8,   49.648264,  -97.390129,     1588.160
  30,    8,   49.649950,  -97.237512,     2021.920
  31,    8,   49.651526,  -97.084888,     2021.920
  32,    8,   49.652990,  -96.932260,     2019.680
  33,    8,   49.654343,  -96.779626,     1785.120
  34,    8,   49.655584,  -96.626988,     1779.360
  35,    8,   49.656714,  -96.474346,     1780.000
  36,    8,   49.657733,  -96.321700,     2005.440
