   X,    Y,    Latitude,   Longitude, UGRD_201907130000
  11,    9,   49.697639, -100.141623,        0.630
  12,    9,   49.701329,  -99.989002,        0.780
  13,    9,   49.704908,  -99.836368,        0.880
  14,    9,   49.708375,  -99.683722,        0.970
  15,    9,   49.711731,  -99.531064,        1.080
  16,    9,   49.714976,  -99.378395,        1.170
  17,    9,   49.718110,  -99.225715,        1.230
  18,    9,   49.721132,  -99.073023,        1.260
  19,    9,   49.724043,  -98.920322,        1.290
  20,    9,   49.726843,  -98.767610,        1.330
  21,    9,   49.729531,  -98.614889,        1.380
  22,    9,   49.732109,  -98.462159,        1.440
  23,    9,   49.734575,  -98.309420,        1.520
  24,    9,   49.736929,  -98.156673,        1.640
  25,    9,   49.739173,  -98.003917,        1.780
  26,    9,   49.741305,  -97.851154,        1.930
  27,    9,   49.743326,  -97.698384,        2.040
  28,    9,   49.745235,  -97.545607,        2.050
  29,    9,   49.747034,  -97.392823,        1.940
  30,    9,   49.748721,  -97.240034,        1.730
  31,    9,   49.750296,  -97.087238,        1.470
  32,    9,   49.751761,  -96.934438,        1.220
  33,    9,   49.753114,  -96.781632,        1.160
  34,    9,   49.754356,  -96.628822,        1.250
  35,    9,   49.755486,  -96.476008,        1.420
  36,    9,   49.756506,  -96.323190,        1.620
  37,    9,   49.757414,  -96.170368,        1.760
  38,    9,   49.758210,  -96.017544,        1.920
  39,    9,   49.758896,  -95.864717,        2.090
  40,    9,   49.759470,  -95.711888,        2.250
  41,    9,   49.759932,  -95.559057,        2.350
  42,    9,   49.760284,  -95.406224,        2.370
  43,    9,   49.760524,  -95.253391,        2.340
  44,    9,   49.760653,  -95.100557,        2.270
   1,   10,   49.753282, -101.674565,       -0.060
   2,   10,   49.758085, -101.521921,       -0.130
   3,   10,   49.762777, -101.369259,       -0.130
   4,   10,   49.767358, -101.216582,       -0.120
   5,   10,   49.771827, -101.063889,       -0.100
   6,   10,   49.776186, -100.911180,       -0.050
   7,   10,   49.780433, -100.758457,        0.060
   8,   10,   49.784569, -100.605719,        0.220
   9,   10,   49.788593, -100.452966,        0.430
  10,   10,   49.792507, -100.300200,        0.650
  11,   10,   49.796309, -100.147420,        0.840
  12,   10,   49.799999,  -99.994627,        0.980
  13,   10,   49.803579,  -99.841822,        1.100
  14,   10,   49.807047,  -99.689004,        1.200
  15,   10,   49.810404,  -99.536174,        1.300
  16,   10,   49.813649,  -99.383333,        1.350
  17,   10,   49.816784,  -99.230481,        1.350
  18,   10,   49.819807,  -99.077617,        1.280
  19,   10,   49.822718,  -98.924744,        1.240
  20,   10,   49.825519,  -98.771860,        1.250
  21,   10,   49.828208,  -98.618967,        1.310
  22,   10,   49.830786,  -98.466065,        1.390
  23,   10,   49.833252,  -98.313154,        1.470
  24,   10,   49.835607,  -98.160234,        1.600
  25,   10,   49.837851,  -98.007306,        1.760
  26,   10,   49.839984,  -97.854371,        1.940
  27,   10,   49.842005,  -97.701429,        2.090
  28,   10,   49.843915,  -97.548479,        2.060
  29,   10,   49.845714,  -97.395523,        1.910
  30,   10,   49.847401,  -97.242561,        1.650
  31,   10,   49.848977,  -97.089593,        1.330
  32,   10,   49.850442,  -96.936620,        1.100
  33,   10,   49.851796,  -96.783642,        1.060
  34,   10,   49.853038,  -96.630660,        1.170
  35,   10,   49.854168,  -96.477673,        1.390
  36,   10,   49.855188,  -96.324683,        1.630
  37,   10,   49.856096,  -96.171689,        1.800
  38,   10,   49.856893,  -96.018692,        1.980
  39,   10,   49.857578,  -95.865693,        2.140
  40,   10,   49.858153,  -95.712691,        2.290
  41,   10,   49.858615,  -95.559688,        2.380
  42,   10,   49.858967,  -95.406683,        2.400
  43,   10,   49.859207,  -95.253677,        2.350
  44,   10,   49.859336,  -95.100671,        2.290
   1,   11,   49.851852, -101.682094,        0.040
   2,   11,   49.856656, -101.529278,       -0.020
   3,   11,   49.861349, -101.376445,       -0.030
   4,   11,   49.865931, -101.223596,       -0.010
   5,   11,   49.870402, -101.070731,        0.050
   6,   11,   49.874761, -100.917851,        0.150
   7,   11,   49.879009, -100.764955,        0.290
   8,   11,   49.883146, -100.612045,        0.490
   9,   11,   49.887171, -100.459121,        0.710
  10,   11,   49.891085, -100.306182,        0.930
  11,   11,   49.894888, -100.153230,        1.120
  12,   11,   49.898580, -100.000265,        1.260
  13,   11,   49.902160,  -99.847288,        1.350
  14,   11,   49.905629,  -99.694298,        1.430
  15,   11,   49.908986,  -99.541296,        1.480
  16,   11,   49.912233,  -99.388282,        1.480
  17,   11,   49.915368,  -99.235257,        1.400
  18,   11,   49.918391,  -99.082222,        1.270
  19,   11,   49.921304,  -98.929176,        1.170
  20,   11,   49.924105,  -98.776120,        1.150
  21,   11,   49.926794,  -98.623054,        1.200
  22,   11,   49.929373,  -98.469979,        1.280
  23,   11,   49.931840,  -98.316896,        1.390
  24,   11,   49.934196,  -98.163803,        1.540
  25,   11,   49.936440,  -98.010703,        1.750
  26,   11,   49.938573,  -97.857595,        1.980
  27,   11,   49.940595,  -97.704480,        2.140
  28,   11,   49.942505,  -97.551358,        2.100
  29,   11,   49.944304,  -97.398229,        1.910
  30,   11,   49.945992,  -97.245095,        1.590
  31,   11,   49.947568,  -97.091954,        1.210
  32,   11,   49.949033,  -96.938808,        0.990
  33,   11,   49.950387,  -96.785657,        0.970
  34,   11,   49.951630,  -96.632502,        1.120
  35,   11,   49.952761,  -96.479343,        1.400
  36,   11,   49.953780,  -96.326179,        1.670
  37,   11,   49.954689,  -96.173013,        1.880
  38,   11,   49.955486,  -96.019843,        2.060
  39,   11,   49.956171,  -95.866671,        2.230
  40,   11,   49.956746,  -95.713496,        2.350
  41,   11,   49.957209,  -95.560320,        2.430
  42,   11,   49.957560,  -95.407142,        2.430
  43,   11,   49.957800,  -95.253964,        2.380
  44,   11,   49.957929,  -95.100784,        2.320
   1,   12,   49.950332, -101.689641,        0.110
   2,   12,   49.955138, -101.536652,        0.060
   3,   12,   49.959832, -101.383647,        0.060
   4,   12,   49.964415, -101.230626,        0.120
   5,   12,   49.968886, -101.077589,        0.240
   6,   12,   49.973246, -100.924536,        0.410
   7,   12,   49.977495, -100.771468,        0.620
   8,   12,   49.981633, -100.618386,        0.850
   9,   12,   49.985659, -100.465289,        1.080
  10,   12,   49.989574, -100.312178,        1.290
  11,   12,   49.993378, -100.159054,        1.460
  12,   12,   49.997070, -100.005916,        1.580
  13,   12,   50.000651,  -99.852766,        1.630
  14,   12,   50.004121,  -99.699603,        1.650
  15,   12,   50.007479,  -99.546429,        1.630
  16,   12,   50.010726,  -99.393242,        1.550
  17,   12,   50.013861,  -99.240045,        1.410
  18,   12,   50.016886,  -99.086837,        1.230
  19,   12,   50.019799,  -98.933618,        1.090
  20,   12,   50.022600,  -98.780389,        0.990
  21,   12,   50.025291,  -98.627150,        0.920
  22,   12,   50.027870,  -98.473903,        0.980
  23,   12,   50.030337,  -98.320646,        1.150
  24,   12,   50.032693,  -98.167381,        1.390
  25,   12,   50.034938,  -98.014108,        1.700
  26,   12,   50.037072,  -97.860827,        2.050
  27,   12,   50.039094,  -97.707538,        2.230
  28,   12,   50.041005,  -97.554243,        2.200
  29,   12,   50.042804,  -97.400941,        1.970
  30,   12,   50.044492,  -97.247634,        1.580
  31,   12,   50.046069,  -97.094320,        1.140
  32,   12,   50.047534,  -96.941001,        0.910
  33,   12,   50.048888,  -96.787677,        0.900
  34,   12,   50.050131,  -96.634349,        1.100
  35,   12,   50.051262,  -96.481016,        1.460
  36,   12,   50.052282,  -96.327679,        1.760
  37,   12,   50.053191,  -96.174340,        1.990
  38,   12,   50.053988,  -96.020997,        2.170
  39,   12,   50.054674,  -95.867651,        2.330
  40,   12,   50.055248,  -95.714303,        2.440
  41,   12,   50.055711,  -95.560954,        2.490
  42,   12,   50.056063,  -95.407603,        2.490
  43,   12,   50.056303,  -95.254251,        2.440
  44,   12,   50.056432,  -95.100898,        2.400
   1,   13,   50.048722, -101.697204,        0.160
   2,   13,   50.053529, -101.544043,        0.130
   3,   13,   50.058224, -101.390865,        0.160
   4,   13,   50.062807, -101.237672,        0.280
   5,   13,   50.067280, -101.084462,        0.470
   6,   13,   50.071641, -100.931237,        0.720
   7,   13,   50.075891, -100.777996,        0.980
   8,   13,   50.080029, -100.624741,        1.230
   9,   13,   50.084056, -100.471471,        1.480
  10,   13,   50.087972, -100.318188,        1.690
  11,   13,   50.091777, -100.164890,        1.850
  12,   13,   50.095470, -100.011580,        1.940
  13,   13,   50.099051,  -99.858257,        1.930
  14,   13,   50.102522,  -99.704921,        1.860
  15,   13,   50.105881,  -99.551573,        1.740
  16,   13,   50.109128,  -99.398214,        1.580
  17,   13,   50.112265,  -99.244843,        1.380
  18,   13,   50.115290,  -99.091462,        1.200
  19,   13,   50.118203,  -98.938070,        1.020
  20,   13,   50.121005,  -98.784668,        0.790
  21,   13,   50.123696,  -98.631256,        0.490
  22,   13,   50.126276,  -98.477835,        0.420
  23,   13,   50.128744,  -98.324405,        0.580
  24,   13,   50.131101,  -98.170966,        0.960
  25,   13,   50.133346,  -98.017520,        1.530
  26,   13,   50.135480,  -97.864065,        2.100
  27,   13,   50.137502,  -97.710604,        2.370
  28,   13,   50.139414,  -97.557135,        2.360
  29,   13,   50.141214,  -97.403660,        2.100
  30,   13,   50.142902,  -97.250178,        1.620
  31,   13,   50.144479,  -97.096691,        1.120
  32,   13,   50.145945,  -96.943199,        0.850
  33,   13,   50.147299,  -96.789701,        0.850
  34,   13,   50.148542,  -96.636199,        1.110
  35,   13,   50.149673,  -96.482693,        1.540
  36,   13,   50.150694,  -96.329183,        1.890
  37,   13,   50.151602,  -96.175669,        2.140
  38,   13,   50.152400,  -96.022153,        2.310
  39,   13,   50.153086,  -95.868634,        2.460
  40,   13,   50.153660,  -95.715112,        2.540
